Ranking,LargoTitulo,Etiqueta,Categoria,Frecuencia
0, 12,Particulares,Cars & Transportation,1
0, 11,Particulares,Travel,1
0, 11,Complejas,Society & Culture,1
0, 7,Opiniones,Entertainment & Music,1
0, 8,Archivada,Computers & Internet,1
0, 7,Opiniones,Beauty & Style,1
0, 3,Particulares,Dining Out,1
0, 12,Opiniones,Food & Drink,1
0, 24,Particulares,Business & Finance,1
0, 5,Opiniones,Beauty & Style,1
0, 22,Opiniones,Politics & Government,1
0, 8,Archivada,Cars & Transportation,1
1,2,Archivada,Consumer Electronics,1
0, 17,Opiniones,News & Events,1
0, 10,Particulares,Consumer Electronics,1
0, 18,Opiniones,Food & Drink,1
0, 21,Opiniones,Pregnancy & Parenting,1
0, 4,Archivada,Social Science,1
0, 9,Particulares,Dining Out,1
0, 8,Opiniones,Politics & Government,1
0, 15,Complejas,Environment,1
0, 4,Particulares,Arts & Humanities,1
0, 14,Particulares,Home & Garden,1
1,7,Opiniones,Home & Garden,1
0, 15,Particulares,Home & Garden,1
0, 9,Opiniones,Education & Reference,1
0, 13,Particulares,Cars & Transportation,1
0, 21,Particulares,News & Events,1
0, 12,Opiniones,Social Science,1
0, 6,Opiniones,News & Events,1
0, 5,Particulares,Sports,1
0, 5,No respondibles,Dining Out,1
0, 16,Opiniones,Family & Relationships,1
0, 11,Particulares,Health,1
0, 2,Particulares,Pets,1
0, 3,Archivada,Pregnancy & Parenting,1
0, 5,Opiniones,Food & Drink,1
0, 10,Opiniones,Society & Culture,1
0, 11,Particulares,Games & Recreation,1
0, 9,Opiniones,Travel,1
0, 26,Complejas,Environment,1
0, 31,Opiniones,Science & Mathematics,1
1,3,Opiniones,Health,1
0, 12,Opiniones,Social Science,1
0, 4,Opiniones,Beauty & Style,1
0, 14,Opiniones,Family & Relationships,1
0, 13,Opiniones,Education & Reference,1
0, 15,Particulares,Social Science,1
0, 7,Opiniones,Business & Finance,1
1,6,No respondibles,Family & Relationships,1
0, 12,Particulares,Beauty & Style,1
0, 9,Archivada,Computers & Internet,1
0, 2,Opiniones,Health,1
0, 25,Particulares,Computers & Internet,1
0, 9,Opiniones,Entertainment & Music,1
0, 7,Opiniones,Games & Recreation,1
0, 9,Opiniones,Travel,1
0, 15,Opiniones,Family & Relationships,1
0, 22,Opiniones,News & Events,1
0, 7,Particulares,Travel,1
0, 23,Opiniones,Home & Garden,1
1,4,Particulares,Computers & Internet,1
0, 22,Particulares,Games & Recreation,1
0, 21,Archivada,Yahoo Products,1
1,7,Particulares,Dining Out,1
0, 18,Opiniones,Dining Out,1
0, 8,Particulares,Local Businesses,1
0, 28,Particulares,Education & Reference,1
0, 7,Opiniones,Travel,1
1,11,Opiniones,Society & Culture,1
0, 3,Opiniones,Games & Recreation,1
0, 9,Opiniones,Games & Recreation,1
0, 24,Opiniones,Dining Out,1
0, 9,Particulares,Travel,1
1,17,Archivada,Sports,1
2,2,Particulares,Environment,1
0, 10,Opiniones,Consumer Electronics,1
0, 9,Opiniones,Games & Recreation,1
0, 7,Particulares,Games & Recreation,1
0, 27,Opiniones,Education & Reference,1
0, 11,Opiniones,Arts & Humanities,1
0, 6,Opiniones,Beauty & Style,1
0, 11,Particulares,Environment,1
0, 11,Opiniones,Travel,1
0, 14,No respondibles,Consumer Electronics,1
0, 10,Particulares,Entertainment & Music,1
0, 15,Opiniones,News & Events,1
0, 4,Archivada,Social Science,1
0, 12,Opiniones,News & Events,1
0, 2,Particulares,Health,1
1,9,Opiniones,Cars & Transportation,1
0, 5,Archivada,Games & Recreation,1
0, 12,Archivada,Games & Recreation,1
0, 7,Particulares,Travel,1
0, 19,Opiniones,Business & Finance,1
0, 16,Particulares,Sports,1
1,7,Opiniones,Pregnancy & Parenting,1
0, 13,Archivada,Yahoo Products,1
